rowno,Make,Model,Year,Engine_Fuel_Type,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Number_of_Doors,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,MSRP
46,Nissan,370Z,2017,premium unleaded (required),332.0,6.0,MANUAL,rear wheel drive,2,High-Performance,Compact,Convertible,24,17,2009,45270
47,Mitsubishi,Montero Sport,2004,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4,,Midsize,4dr SUV,17,14,436,25999
48,Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,4,Performance,Midsize,Sedan,32,24,873,29955
49,Chevrolet,S-10 Blazer,1994,regular unleaded,165.0,6.0,MANUAL,four wheel drive,2,,Compact,2dr SUV,20,15,1385,2000
50,Bentley,Continental GT,2016,premium unleaded (required),582.0,12.0,AUTOMATIC,all wheel drive,2,,Midsize,Convertible,20,12,520,236100
51,Pontiac,Firebird,2001,premium unleaded (required),310.0,8.0,AUTOMATIC,rear wheel drive,2,"Hatchback,Performance",Midsize,2dr Hatchback,23,16,210,24035
52,Volvo,XC70,2016,regular unleaded,240.0,4.0,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,Wagon,31,23,870,41550
53,Hyundai,Sonata,2017,regular unleaded,245.0,4.0,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,31,22,1439,34350
54,Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Sedan,37,29,2031,20635
55,Dodge,Durango,2017,premium unleaded (recommended),360.0,8.0,AUTOMATIC,all wheel drive,4,,Large,4dr SUV,22,14,1851,44695
56,Cadillac,CTS Wagon,2013,regular unleaded,318.0,6.0,AUTOMATIC,rear wheel drive,4,,Midsize,Wagon,26,18,1624,44190
57,GMC,Sierra 1500,2017,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4,,Large,Crew Cab Pickup,20,15,549,55605
58,GMC,Yukon XL,2015,premium unleaded (recommended),420.0,8.0,AUTOMATIC,rear wheel drive,4,Performance,Large,4dr SUV,21,15,549,67220
59,Kia,Optima,2014,regular unleaded,192.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,34,23,1720,23950
60,Chevrolet,Sonic,2015,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,29,1385,18835
61,Cadillac,ATS,2015,flex-fuel (unleaded/E85),321.0,6.0,AUTOMATIC,rear wheel drive,4,,Compact,Sedan,28,18,1624,41340
62,Cadillac,ATS Coupe,2015,premium unleaded (recommended),272.0,4.0,AUTOMATIC,rear wheel drive,2,,Compact,Coupe,31,21,1624,37995
63,Nissan,Frontier,2015,regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4,,Compact,Extended Cab Pickup,22,16,2009,23610
64,Subaru,Justy,1993,regular unleaded,73.0,3.0,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,32,28,640,2000
65,Suzuki,Esteem,2002,regular unleaded,122.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Wagon,30,23,481,16599
66,Nissan,Armada,2017,regular unleaded,390.0,8.0,AUTOMATIC,rear wheel drive,4,,Large,4dr SUV,19,14,2009,57590
67,Hyundai,Tiburon,2007,regular unleaded,172.0,6.0,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,24,17,1439,19395
68,Buick,Roadmaster,1994,regular unleaded,260.0,8.0,AUTOMATIC,rear wheel drive,4,,Large,Wagon,23,15,155,2000
69,Honda,Crosstour,2013,regular unleaded,278.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,4dr Hatchback,30,20,2202,30890
70,Porsche,911,2017,premium unleaded (required),580.0,6.0,AUTOMATED_MANUAL,all wheel drive,2,,Compact,Convertible,28,20,1715,200400
71,GMC,Sierra 1500,2017,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4,,Large,Crew Cab Pickup,22,16,549,47990
72,Audi,A3,2016,premium unleaded (recommended),220.0,4.0,AUTOMATED_MANUAL,all wheel drive,2,,Compact,Convertible,32,23,3105,43100
73,Lincoln,MKC,2016,regular unleaded,240.0,4.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,26,19,61,39585
74,Ford,Five Hundred,2006,regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4,,Large,Sedan,26,19,5657,26380
75,Subaru,XV Crosstrek,2015,regular unleaded,160.0,4.0,AUTOMATIC,all wheel drive,4,"Crossover,Hybrid",Compact,4dr SUV,34,30,640,25995
76,Nissan,Versa Note,2015,regular unleaded,109.0,4.0,AUTOMATIC,front wheel drive,4,Hatchback,Compact,4dr Hatchback,40,31,2009,17930
77,Chevrolet,Silverado 1500,2016,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,22,17,1385,43775
78,Chevrolet,Malibu Limited,2016,regular unleaded,197.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,34,24,1385,28420
79,Infiniti,FX,2013,premium unleaded (required),390.0,8.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,High-Performance",Midsize,4dr SUV,20,14,190,61500
80,Volkswagen,Golf GTI,2015,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,33,25,873,31145
81,Hyundai,Elantra GT,2015,regular unleaded,173.0,4.0,MANUAL,front wheel drive,4,,Compact,4dr Hatchback,34,24,1439,18800
82,Honda,Crosstour,2014,regular unleaded,192.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,4dr Hatchback,31,22,2202,31065
83,Hyundai,Sonata,2016,regular unleaded,245.0,4.0,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,32,23,1439,28925
84,Volkswagen,Routan,2010,regular unleaded,251.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Passenger Minivan,25,17,873,42500
85,Acura,TSX,2014,premium unleaded (recommended),201.0,4.0,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,31,22,204,33735
86,Toyota,Tundra,2015,regular unleaded,381.0,8.0,AUTOMATIC,four wheel drive,4,,Large,Extended Cab Pickup,17,13,2031,41385
87,Toyota,Supra,1996,regular unleaded,220.0,6.0,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,22,16,2031,14977
88,Lexus,NX 200t,2017,premium unleaded (required),235.0,4.0,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,28,22,454,35085
89,Chrysler,Sebring,2010,regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,30,21,1013,22115
90,Aston Martin,V8 Vantage,2014,premium unleaded (required),430.0,8.0,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,19,13,259,130700
91,Nissan,Xterra,2015,regular unleaded,261.0,6.0,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,22,16,2009,25670
92,Chevrolet,Blazer,2003,regular unleaded,190.0,6.0,MANUAL,rear wheel drive,2,,Compact,2dr SUV,20,14,1385,22845
93,Buick,Enclave,2017,regular unleaded,288.0,6.0,AUTOMATIC,all wheel drive,4,,Midsize,4dr SUV,22,15,155,45765
94,Acura,Legend,1995,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,22,17,204,2144
95,Lexus,GS 350,2017,premium unleaded (required),311.0,6.0,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,28,20,454,50695
96,Buick,Lucerne,2010,flex-fuel (unleaded/E85),227.0,6.0,AUTOMATIC,front wheel drive,4,Flex Fuel,Large,Sedan,26,17,155,29230
97,Dodge,Durango,2015,regular unleaded,290.0,6.0,AUTOMATIC,rear wheel drive,4,,Large,4dr SUV,25,18,1851,30495
98,Audi,Q7,2015,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Diesel",Large,4dr SUV,28,19,3105,53400
99,Chevrolet,Equinox,2017,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,4dr SUV,32,22,1385,26750
100,Mazda,6,2015,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,38,26,586,24895
101,Acura,TL,2013,premium unleaded (recommended),305.0,6.0,MANUAL,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,25,17,204,43185
102,Ford,Focus,2015,flex-fuel (unleaded/E85),160.0,4.0,MANUAL,front wheel drive,4,"Hatchback,Flex Fuel",Compact,4dr Hatchback,36,26,5657,18960
103,Hyundai,Entourage,2007,regular unleaded,242.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Passenger Minivan,23,16,1439,23895
104,Bentley,Continental GT,2015,flex-fuel (premium unleaded required/E85),626.0,12.0,AUTOMATIC,all wheel drive,2,,Midsize,Convertible,20,12,520,250100
105,HUMMER,H3,2008,regular unleaded,242.0,5.0,MANUAL,four wheel drive,4,Luxury,Midsize,4dr SUV,18,13,130,39290
106,BMW,3 Series Gran Turismo,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury,Performance",Midsize,4dr Hatchback,30,20,3916,49200
107,Nissan,Truck,1995,regular unleaded,134.0,4.0,MANUAL,four wheel drive,2,,Compact,Extended Cab Pickup,19,16,2009,2281
108,Mitsubishi,Lancer,2017,regular unleaded,148.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Sedan,34,27,436,18795
109,Audi,SQ5,2016,premium unleaded (required),354.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Factory Tuner,Luxury,Performance",Midsize,4dr SUV,24,17,3105,53300
110,Toyota,Prius v,2017,regular unleaded,134.0,4.0,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Wagon,39,43,2031,26675
111,Volkswagen,GLI,2012,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,22,873,26695
112,Toyota,Camry,2015,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,31,21,2031,31370
113,GMC,Sierra 1500 Classic,2007,flex-fuel (unleaded/E85),295.0,8.0,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,17,13,549,31965
114,GMC,Yukon Hybrid,2013,regular unleaded,332.0,8.0,AUTOMATIC,four wheel drive,4,"Luxury,Hybrid",Large,4dr SUV,23,20,549,56955
115,Suzuki,Verona,2006,regular unleaded,155.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,25,17,481,20299
116,Mazda,Protege,2002,regular unleaded,130.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,28,22,586,14975
117,Toyota,Yaris,2016,regular unleaded,106.0,4.0,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,37,30,2031,16870
118,Audi,S4,2014,premium unleaded (required),333.0,6.0,MANUAL,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,26,17,3105,48100
119,Bentley,Continental Supersports,2011,flex-fuel (premium unleaded required/E85),621.0,12.0,AUTOMATIC,all wheel drive,2,,Midsize,Coupe,19,12,520,267000
120,Honda,Accord,2016,regular unleaded,185.0,4.0,MANUAL,front wheel drive,2,,Midsize,Coupe,34,23,2202,23875
121,Nissan,Sentra,2016,regular unleaded,130.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,40,30,2009,18160
122,Mazda,CX-5,2014,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,4dr SUV,32,26,586,22795
123,FIAT,500X,2016,regular unleaded,180.0,4.0,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,30,21,819,29235
124,Chevrolet,Silverado 1500,2017,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,22,17,1385,39185
125,Lexus,LS 460,2015,premium unleaded (required),360.0,8.0,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,23,16,454,75465
126,Toyota,Tundra,2015,regular unleaded,381.0,8.0,AUTOMATIC,rear wheel drive,4,,Large,Crew Cab Pickup,18,13,2031,33980
127,BMW,Z4 M,2008,premium unleaded (required),330.0,6.0,MANUAL,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,23,15,3916,50400
128,Buick,LaCrosse,2017,regular unleaded,310.0,6.0,AUTOMATIC,all wheel drive,4,Performance,Large,Sedan,29,20,155,43265
129,Infiniti,G Sedan,2012,premium unleaded (recommended),328.0,6.0,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Midsize,Sedan,27,19,190,45450
130,Subaru,Impreza WRX,2014,premium unleaded (required),265.0,4.0,MANUAL,all wheel drive,4,Performance,Compact,Sedan,25,19,640,29495
131,Ford,Contour,2000,regular unleaded,125.0,4.0,MANUAL,front wheel drive,4,,Midsize,Sedan,31,21,5657,2079
132,Chevrolet,C/K 1500 Series,1998,regular unleaded,200.0,6.0,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,19,14,1385,3067
133,Kia,Rio,2017,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Sedan,36,27,1720,17755
134,Mazda,CX-9,2015,regular unleaded,273.0,6.0,AUTOMATIC,all wheel drive,4,,Large,4dr SUV,22,16,586,34070
135,Lincoln,MKC,2016,regular unleaded,240.0,4.0,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,29,20,61,33260
136,Chevrolet,TrailBlazer EXT,2004,regular unleaded,275.0,6.0,AUTOMATIC,four wheel drive,4,,Large,4dr SUV,19,14,1385,34220
137,Toyota,Prius v,2017,regular unleaded,134.0,4.0,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Wagon,39,43,2031,30935
138,Hyundai,Santa Fe,2017,regular unleaded,290.0,6.0,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,24,18,1439,32550
139,Chrysler,300,2016,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4,Performance,Large,Sedan,31,19,1013,42690
140,Mazda,B-Series Truck,2008,regular unleaded,207.0,6.0,MANUAL,four wheel drive,4,,Compact,Extended Cab Pickup,19,15,586,22045
141,Pontiac,Sunbird,1992,regular unleaded,111.0,4.0,MANUAL,front wheel drive,2,,Compact,Coupe,32,22,210,2000
142,Buick,Regal,2017,premium unleaded (recommended),259.0,4.0,AUTOMATIC,front wheel drive,4,Performance,Midsize,Sedan,29,21,155,31615
143,Saab,09-Mar,2009,premium unleaded (recommended),210.0,4.0,AUTOMATIC,all wheel drive,4,,Compact,Wagon,27,17,376,37810
144,Ford,F-150,2017,regular unleaded,365.0,6.0,AUTOMATIC,rear wheel drive,4,Performance,Large,Crew Cab Pickup,25,18,5657,59600
145,Acura,RDX,2015,premium unleaded (recommended),273.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,27,19,204,40195
146,Chevrolet,Beretta,1994,regular unleaded,170.0,4.0,MANUAL,front wheel drive,2,,Compact,Coupe,27,18,1385,2000
147,Cadillac,ATS Coupe,2016,regular unleaded,335.0,6.0,AUTOMATIC,rear wheel drive,2,,Compact,Coupe,30,20,1624,50835
148,Dodge,Dakota,2009,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4,,Compact,Extended Cab Pickup,18,14,1851,30155
149,Infiniti,M45,2010,premium unleaded (required),325.0,8.0,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,20,14,190,54650
150,Dodge,Stratus,2006,regular unleaded,150.0,4.0,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,27,20,1851,20825
151,Cadillac,ATS,2016,premium unleaded (recommended),272.0,4.0,AUTOMATIC,all wheel drive,4,,Midsize,Sedan,30,22,1624,41340
152,Mercedes-Benz,SLK-Class,2014,premium unleaded (required),415.0,8.0,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,28,19,617,68925
153,GMC,Canyon,2015,regular unleaded,200.0,4.0,AUTOMATIC,rear wheel drive,4,,Compact,Crew Cab Pickup,27,20,549,28535
154,Volkswagen,Passat,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,36,24,873,31790
155,Volkswagen,Routan,2011,regular unleaded,283.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Passenger Minivan,25,17,873,26930
156,Dodge,Ram Pickup 1500,2008,flex-fuel (unleaded/E85),310.0,8.0,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,18,13,1851,31445
157,Lincoln,MKT,2017,regular unleaded,303.0,6.0,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Large,Wagon,24,16,61,43530
158,Dodge,Dakota,2008,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4,,Compact,Crew Cab Pickup,20,15,1851,24010
159,Ferrari,575M,2003,premium unleaded (required),515.0,12.0,MANUAL,rear wheel drive,2,"Exotic,High-Performance",Compact,Coupe,15,9,2774,217890
160,Pontiac,G6,2009,regular unleaded,164.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,30,22,210,20490
161,Volvo,XC60,2015,regular unleaded,325.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Performance",Midsize,4dr SUV,24,17,870,45800
162,Dodge,RAM 150,1992,regular unleaded,180.0,6.0,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,16,11,1851,2000
163,Chevrolet,S-10 Blazer,1992,regular unleaded,160.0,6.0,MANUAL,rear wheel drive,2,,Compact,2dr SUV,22,16,1385,2000
164,Buick,Encore,2016,regular unleaded,153.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,4dr SUV,34,28,155,27350
165,Subaru,Forester,2017,regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,32,26,640,23595
166,Toyota,Venza,2013,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4,"Crossover,Performance",Midsize,Wagon,26,19,2031,33330
167,Toyota,4Runner,2014,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4,,Midsize,4dr SUV,22,17,2031,35725
168,Toyota,Camry Hybrid,2017,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,38,42,2031,26790
169,Volvo,S40,2011,regular unleaded,227.0,5.0,AUTOMATIC,front wheel drive,4,Luxury,Compact,Sedan,30,21,870,31150
170,Subaru,B9 Tribeca,2006,premium unleaded (required),250.0,6.0,AUTOMATIC,all wheel drive,4,,Midsize,4dr SUV,21,16,640,30695
171,GMC,Terrain,2016,regular unleaded,182.0,4.0,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,29,20,549,30050
172,Maserati,GranSport,2005,premium unleaded (required),395.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Coupe,16,11,238,98172
173,Volkswagen,Phaeton,2005,premium unleaded (recommended),420.0,12.0,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,17,11,873,100800
174,Ford,Explorer Sport Trac,2008,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4,,Compact,Crew Cab Pickup,20,14,5657,25400
175,Audi,A6,2015,premium unleaded (required),310.0,6.0,AUTOMATIC,all wheel drive,4,,Midsize,Sedan,27,18,3105,60100
176,Ford,Five Hundred,2005,regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4,,Large,Sedan,23,17,5657,28090
177,Chevrolet,Cobalt,2008,regular unleaded,173.0,4.0,MANUAL,front wheel drive,2,,Compact,Coupe,32,22,1385,19695
178,Chevrolet,Traverse,2015,regular unleaded,281.0,6.0,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,24,17,1385,30995
179,Infiniti,FX,2012,premium unleaded (required),303.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,21,16,190,45150
180,Audi,S8,2015,premium unleaded (required),520.0,8.0,AUTOMATIC,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Large,Sedan,27,17,3105,114900
181,Hyundai,Genesis,2015,premium unleaded (recommended),420.0,8.0,AUTOMATIC,rear wheel drive,4,"Luxury,High-Performance",Large,Sedan,23,15,1439,51500
182,Scion,FR-S,2014,premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2,Performance,Compact,Coupe,30,22,105,27400
